Datetime,Open,High,Low,Close,Volume,date
2015-05-04 09:15:00,8230.05,8243.15,8221.25,8235.6,0,2015-05-04
2015-05-04 09:20:00,8236.05,8239.9,8228.4,8238.8,0,2015-05-04
2015-05-04 09:25:00,8239.4,8264.35,8235.05,8263.9,0,2015-05-04
2015-05-04 09:30:00,8263.75,8283.45,8259.2,8278.95,0,2015-05-04
2015-05-04 09:35:00,8279.25,8280.3,8272.7,8278.5,0,2015-05-04
2015-05-04 09:40:00,8279.15,8292.2,8274.0,8287.15,0,2015-05-04
2015-05-04 09:45:00,8286.85,8288.05,8280.6,8284.4,0,2015-05-04
2015-05-04 09:50:00,8284.65,8284.75,8275.45,8277.2,0,2015-05-04
2015-05-04 09:55:00,8277.85,8279.35,8269.8,8271.25,0,2015-05-04
2015-05-04 10:00:00,8271.6,8274.6,8268.5,8272.2,0,2015-05-04
2015-05-04 10:05:00,8272.15,8273.95,8252.35,8261.0,0,2015-05-04
2015-05-04 10:10:00,8260.95,8262.2,8251.7,8259.4,0,2015-05-04
2015-05-04 10:15:00,8258.7,8271.8,8258.7,8267.45,0,2015-05-04
2015-05-04 10:20:00,8267.05,8269.75,8264.9,8268.15,0,2015-05-04
2015-05-04 10:25:00,8268.2,8272.1,8265.65,8270.35,0,2015-05-04
2015-05-04 10:30:00,8270.15,8271.05,8257.5,8264.2,0,2015-05-04
2015-05-04 10:35:00,8263.7,8266.15,8256.3,8265.4,0,2015-05-04
2015-05-04 10:40:00,8265.5,8271.05,8264.35,8270.45,0,2015-05-04
2015-05-04 10:45:00,8270.35,8274.25,8267.7,8273.85,0,2015-05-04
2015-05-04 10:50:00,8273.95,8278.6,8271.8,8274.05,0,2015-05-04
2015-05-04 10:55:00,8273.6,8278.7,8273.6,8274.25,0,2015-05-04
2015-05-04 11:00:00,8274.0,8275.4,8267.7,8267.7,0,2015-05-04
2015-05-04 11:05:00,8267.65,8274.55,8266.5,8274.0,0,2015-05-04
2015-05-04 11:10:00,8273.85,8280.5,8273.85,8280.05,0,2015-05-04
2015-05-04 11:15:00,8280.1,8284.6,8278.25,8282.0,0,2015-05-04
2015-05-04 11:20:00,8282.05,8286.55,8280.05,8285.15,0,2015-05-04
2015-05-04 11:25:00,8285.15,8288.5,8282.35,8282.45,0,2015-05-04
2015-05-04 11:30:00,8282.95,8285.5,8281.8,8284.35,0,2015-05-04
2015-05-04 11:35:00,8284.35,8289.1,8283.75,8287.2,0,2015-05-04
2015-05-04 11:40:00,8287.2,8290.65,8284.6,8285.65,0,2015-05-04
2015-05-04 11:45:00,8285.55,8294.25,8285.5,8293.1,0,2015-05-04
2015-05-04 11:50:00,8293.3,8294.8,8288.75,8292.25,0,2015-05-04
2015-05-04 11:55:00,8292.4,8292.4,8286.7,8288.6,0,2015-05-04
2015-05-04 12:00:00,8288.7,8289.85,8285.45,8289.45,0,2015-05-04
2015-05-04 12:05:00,8289.0,8290.85,8286.35,8288.0,0,2015-05-04
2015-05-04 12:10:00,8288.1,8293.5,8286.9,8292.85,0,2015-05-04
2015-05-04 12:15:00,8293.1,8293.7,8288.35,8291.25,0,2015-05-04
2015-05-04 12:20:00,8291.9,8294.5,8288.6,8290.65,0,2015-05-04
2015-05-04 12:25:00,8290.7,8296.6,8290.45,8296.0,0,2015-05-04
2015-05-04 12:30:00,8296.25,8297.65,8290.35,8292.85,0,2015-05-04
2015-05-04 12:35:00,8293.3,8296.35,8287.7,8287.95,0,2015-05-04
2015-05-04 12:40:00,8288.45,8289.6,8281.05,8286.55,0,2015-05-04
2015-05-04 12:45:00,8286.85,8290.35,8279.0,8279.3,0,2015-05-04
2015-05-04 12:50:00,8279.65,8282.55,8277.15,8280.05,0,2015-05-04
2015-05-04 12:55:00,8279.75,8283.6,8276.3,8283.5,0,2015-05-04
2015-05-04 13:00:00,8283.65,8286.1,8281.4,8283.35,0,2015-05-04
2015-05-04 13:05:00,8283.45,8293.4,8283.35,8293.3,0,2015-05-04
2015-05-04 13:10:00,8293.35,8295.3,8284.15,8287.7,0,2015-05-04
2015-05-04 13:15:00,8287.8,8289.3,8282.15,8284.25,0,2015-05-04
2015-05-04 13:20:00,8284.5,8284.5,8282.2,8282.95,0,2015-05-04
2015-05-04 13:25:00,8282.7,8284.85,8279.85,8282.25,0,2015-05-04
2015-05-04 13:30:00,8282.4,8289.65,8280.75,8287.0,0,2015-05-04
2015-05-04 13:35:00,8287.2,8289.15,8285.1,8286.25,0,2015-05-04
2015-05-04 13:40:00,8286.35,8289.75,8284.7,8285.5,0,2015-05-04
2015-05-04 13:45:00,8285.55,8288.6,8281.8,8286.2,0,2015-05-04
2015-05-04 13:50:00,8286.05,8291.65,8285.15,8290.2,0,2015-05-04
2015-05-04 13:55:00,8290.05,8294.6,8289.25,8294.0,0,2015-05-04
2015-05-04 14:00:00,8294.0,8297.2,8289.0,8290.55,0,2015-05-04
2015-05-04 14:05:00,8290.3,8301.4,8290.05,8296.05,0,2015-05-04
2015-05-04 14:10:00,8296.7,8296.7,8286.7,8293.55,0,2015-05-04
2015-05-04 14:15:00,8293.25,8294.0,8284.65,8287.9,0,2015-05-04
2015-05-04 14:20:00,8287.9,8290.9,8264.85,8264.85,0,2015-05-04
2015-05-04 14:25:00,8265.0,8279.35,8261.0,8277.6,0,2015-05-04
2015-05-04 14:30:00,8277.55,8279.1,8267.85,8271.95,0,2015-05-04
2015-05-04 14:35:00,8271.55,8280.15,8271.55,8275.5,0,2015-05-04
2015-05-04 14:40:00,8276.0,8287.3,8274.5,8282.65,0,2015-05-04
2015-05-04 14:45:00,8283.05,8286.25,8278.55,8278.8,0,2015-05-04
2015-05-04 14:50:00,8278.6,8284.5,8277.6,8282.85,0,2015-05-04
2015-05-04 14:55:00,8283.25,8308.65,8281.2,8306.6,0,2015-05-04
2015-05-04 15:00:00,8307.1,8316.45,8307.1,8310.4,0,2015-05-04
2015-05-04 15:05:00,8310.45,8327.5,8310.45,8327.5,0,2015-05-04
2015-05-04 15:10:00,8327.75,8336.55,8326.9,8329.15,0,2015-05-04
2015-05-04 15:15:00,8328.95,8339.4,8326.9,8333.8,0,2015-05-04
2015-05-04 15:20:00,8333.4,8344.55,8332.5,8341.45,0,2015-05-04
2015-05-04 15:25:00,8341.05,8345.35,8341.05,8342.65,0,2015-05-04
2015-05-05 09:15:00,8338.4,8341.65,8310.65,8319.6,0,2015-05-05
2015-05-05 09:20:00,8320.15,8329.75,8316.1,8323.65,0,2015-05-05
2015-05-05 09:25:00,8324.9,8327.75,8311.85,8311.9,0,2015-05-05
2015-05-05 09:30:00,8311.85,8318.75,8300.15,8304.85,0,2015-05-05
2015-05-05 09:35:00,8304.55,8313.45,8302.45,8308.45,0,2015-05-05
2015-05-05 09:40:00,8308.75,8318.8,8305.75,8314.85,0,2015-05-05
2015-05-05 09:45:00,8315.1,8330.25,8315.1,8320.3,0,2015-05-05
2015-05-05 09:50:00,8320.9,8324.6,8318.85,8323.4,0,2015-05-05
2015-05-05 09:55:00,8323.85,8323.9,8316.3,8320.1,0,2015-05-05
2015-05-05 10:00:00,8320.0,8320.85,8309.35,8313.55,0,2015-05-05
2015-05-05 10:05:00,8313.9,8320.15,8311.3,8316.4,0,2015-05-05
